gss-code,year,dwellings
E07000238,2014,53550
E07000238,2015,54410
E07000239,2011,45010
E07000239,2012,45200
E07000239,2013,45430
E07000239,2014,45800
E07000239,2015,46260
E07000240,2011,57890
E07000240,2012,58270
E07000240,2013,58610
E07000240,2014,58990
E07000240,2015,59300
E07000241,2011,45530
E07000241,2012,45820
E07000241,2013,45970
E07000241,2014,46180
E07000241,2015,46500
E08000001,2011,120800
E08000001,2012,121330
E08000001,2013,121670
E08000001,2014,122000
E08000001,2015,122470
E08000002,2011,81420
E08000002,2012,81640
E08000002,2013,81920
E08000002,2014,82180
E08000002,2015,82730
E08000003,2011,213530
E08000003,2012,214400
E08000003,2013,216630
E08000003,2014,217240
E08000003,2015,218130
E08000004,2011,93000
E08000004,2012,93010
E08000004,2013,93260
E08000004,2014,93580
E08000004,2015,94080
E08000005,2011,89970
E08000005,2012,90420
E08000005,2013,90870
E08000005,2014,91140
E08000005,2015,91450
E08000006,2011,108610
E08000006,2012,108760
E08000006,2013,109300
E08000006,2014,110150
E08000006,2015,111120
E08000007,2011,125810
E08000007,2012,126010
E08000007,2013,126380
E08000007,2014,126760
E08000007,2015,127190
E08000008,2011,99150
E08000008,2012,99550
E08000008,2013,100100
E08000008,2014,100510
E08000008,2015,100900
E08000009,2011,97130
E08000009,2012,97330
E08000009,2013,97430
E08000009,2014,97580
E08000009,2015,97960
E08000010,2011,141520
E08000010,2012,141880
E08000010,2013,142100
E08000010,2014,142690
E08000010,2015,143220
E08000011,2011,62970
E08000011,2012,63200
E08000011,2013,63390
E08000011,2014,63750
E08000011,2015,64290
E08000012,2011,214150
E08000012,2012,215090
E08000012,2013,215990
E08000012,2014,216990
E08000012,2015,218500
E08000013,2011,79230
E08000013,2012,79650
E08000013,2013,79920
E08000013,2014,80470
E08000013,2015,81100
E08000014,2011,124010
E08000014,2012,124410
E08000014,2013,124790
E08000014,2014,125100
E08000014,2015,125550
E08000015,2011,145690
E08000015,2012,145720
E08000015,2013,145970
E08000015,2014,146270
E08000015,2015,146810
E08000016,2011,104980
E08000016,2012,105800
E08000016,2013,106460
E08000016,2014,107210
E08000016,2015,107830
E08000017,2011,130820
E08000017,2012,131280
E08000017,2013,131590
E08000017,2014,132250
E08000017,2015,133040
E08000018,2011,112020
E08000018,2012,112620
E08000018,2013,113130
E08000018,2014,113680
E08000018,2015,114320
E08000019,2011,236810
E08000019,2012,237240
E08000019,2013,238010
E08000019,2014,238920
E08000019,2015,240690
E08000020,2011,92590
E08000020,2012,92790
E08000020,2013,93060
E08000020,2014,93150
E08000020,2015,93230
E08000021,2011,121760
E08000021,2012,122150
E08000021,2013,122220
E08000021,2014,122720
E08000021,2015,123450
E08000022,2011,94530
E08000022,2012,94920
E08000022,2013,95380
E08000022,2014,95750
E08000022,2015,96170
E08000023,2011,69690
E08000023,2012,69950
E08000023,2013,70130
E08000023,2014,70300
E08000023,2015,70730
E08000024,2011,123370
E08000024,2012,123540
E08000024,2013,123790
E08000024,2014,124310
E08000024,2015,125220
E08000025,2011,423630
E08000025,2012,424820
E08000025,2013,426190
E08000025,2014,427790
E08000025,2015,429600
E08000026,2011,132890
E08000026,2012,133800
E08000026,2013,134780
E08000026,2014,135870
E08000026,2015,136980
E08000027,2011,133910
E08000027,2012,134510
E08000027,2013,135230
E08000027,2014,135910
E08000027,2015,136630
E08000028,2011,127070
E08000028,2012,127670
E08000028,2013,128260
E08000028,2014,128790
E08000028,2015,129710
E08000029,2011,88230
E08000029,2012,88500
E08000029,2013,88830
E08000029,2014,88970
E08000029,2015,89640
E08000030,2011,110940
E08000030,2012,111470
E08000030,2013,111880
E08000030,2014,112590
E08000030,2015,113350
E08000031,2011,105830
E08000031,2012,106560
E08000031,2013,107040
E08000031,2014,107470
E08000031,2015,108140
E08000032,2011,207270
E08000032,2012,208000
E08000032,2013,208720
E08000032,2014,209600
E08000032,2015,210730
E08000033,2011,92170
E08000033,2012,92550
E08000033,2013,93040
E08000033,2014,93370
E08000033,2015,93930
E08000034,2011,181110
E08000034,2012,182050
E08000034,2013,182630
E08000034,2014,183660
E08000034,2015,184190
E08000035,2011,331820
E08000035,2012,333750
E08000035,2013,335310
E08000035,2014,337540
E08000035,2015,339520
E08000036,2011,146360
E08000036,2012,147210
E08000036,2013,147750
E08000036,2014,148550
E08000036,2015,149690
E09000001,2011,5510
E09000001,2012,5530
E09000001,2013,5570
E09000001,2014,6000
E09000001,2015,6230
E09000002,2011,71080
E09000002,2012,71430
E09000002,2013,71940
E09000002,2014,72670
E09000002,2015,73180
E09000003,2011,139350
E09000003,2012,141460
E09000003,2013,142830
E09000003,2014,143950
E09000003,2015,145270
E09000004,2011,95040
E09000004,2012,95240
E09000004,2013,95660
E09000004,2014,96190
E09000004,2015,97000
E09000005,2011,112080
E09000005,2012,112640
E09000005,2013,113310
E09000005,2014,114040
E09000005,2015,115600
E09000006,2011,135040
E09000006,2012,135610
E09000006,2013,136300
E09000006,2014,136450
E09000006,2015,136860
E09000007,2011,99830
E09000007,2012,100200
E09000007,2013,100760
E09000007,2014,101210
E09000007,2015,101650
E09000008,2011,148100
E09000008,2012,148810
E09000008,2013,149700
E09000008,2014,150990
E09000008,2015,152520
E09000009,2011,127190
E09000009,2012,127870
E09000009,2013,128860
E09000009,2014,129630
E09000009,2015,130530
E09000010,2011,122040
E09000010,2012,122340
E09000010,2013,122890
E09000010,2014,123400
E09000010,2015,123800
E09000011,2011,103190
E09000011,2012,104510
E09000011,2013,104620
E09000011,2014,105740
E09000011,2015,106880
E09000012,2011,102410
E09000012,2012,103560
E09000012,2013,104360
E09000012,2014,105490
E09000012,2015,106750
E09000013,2011,82390
E09000013,2012,82860
E09000013,2013,83280
E09000013,2014,83910
E09000013,2015,85270
E09000014,2011,104170
E09000014,2012,105460
E09000014,2013,106030
E09000014,2014,106510
E09000014,2015,106640
E09000015,2011,86520
E09000015,2012,86990
E09000015,2013,87710
E09000015,2014,88000
E09000015,2015,88410
E09000016,2011,99180
E09000016,2012,99230
E09000016,2013,99460
E09000016,2014,99620
E09000016,2015,100260
E09000017,2011,103910
E09000017,2012,104900
E09000017,2013,106360
E09000017,2014,106920
E09000017,2015,107460
E09000018,2011,96890
E09000018,2012,97470
E09000018,2013,97700
E09000018,2014,98390
E09000018,2015,98790
E09000019,2011,96870
E09000019,2012,98100
E09000019,2013,99020
E09000019,2014,100260
E09000019,2015,100760
E09000020,2011,84800
E09000020,2012,84900
E09000020,2013,84960
E09000020,2014,85550
E09000020,2015,86540
E09000021,2011,65200
E09000021,2012,65420
E09000021,2013,65630
E09000021,2014,65890
E09000021,2015,66410
E09000022,2011,132210
E09000022,2012,133060
E09000022,2013,133600
E09000022,2014,134850
E09000022,2015,136260
E09000023,2011,117650
E09000023,2012,118840
E09000023,2013,120640
E09000023,2014,121350
E09000023,2015,122820
E09000024,2011,80920
E09000024,2012,81430
E09000024,2013,81840
E09000024,2014,82280
E09000024,2015,82710
E09000025,2011,103210
E09000025,2012,104120
E09000025,2013,104790
E09000025,2014,106760
E09000025,2015,108810
E09000026,2011,101350
E09000026,2012,101870
E09000026,2013,102140
E09000026,2014,102400
E09000026,2015,102650
E09000027,2011,82480
E09000027,2012,82690
E09000027,2013,83180
E09000027,2014,83540
E09000027,2015,83780
E09000028,2011,123270
E09000028,2012,124320
E09000028,2013,125570
E09000028,2014,127220
E09000028,2015,128360
E09000029,2011,79700
E09000029,2012,80280
E09000029,2013,80510
E09000029,2014,80810
E09000029,2015,81240
E09000030,2011,105380
E09000030,2012,108250
E09000030,2013,109220
E09000030,2014,109880
E09000030,2015,110790
E09000031,2011,98280
E09000031,2012,98780
E09000031,2013,99250
E09000031,2014,99640
E09000031,2015,100310
E09000032,2011,134620
E09000032,2012,135600
E09000032,2013,136560
E09000032,2014,137760
E09000032,2015,138840
E09000033,2011,118320
E09000033,2012,119250
E09000033,2013,119840
E09000033,2014,120370
E09000033,2015,121120
