gss.code,sex,age,year,popn
E06000005,F,5,2030,565.1592787623
E06000005,F,5,2031,562.8559688593
E06000005,F,5,2032,560.1346702717
E06000005,F,5,2033,557.2724446901
E06000005,F,5,2034,555.3142579966
E06000005,F,5,2035,552.4975979583
E06000005,F,5,2036,550.2201963779
E06000005,F,5,2037,548.6424066247
E06000005,F,6,2011,587
E06000005,F,6,2012,655
E06000005,F,6,2013,625
E06000005,F,6,2014,689
E06000005,F,6,2015,634.9166666667
E06000005,F,6,2016,637.75
E06000005,F,6,2017,622.8333333333
E06000005,F,6,2018,665.9166666667
E06000005,F,6,2019,644.5833333333
E06000005,F,6,2020,563.5085034014
E06000005,F,6,2021,588.5227624768
E06000005,F,6,2022,589.3627159376
E06000005,F,6,2023,588.0627557518
E06000005,F,6,2024,588.1407421089
E06000005,F,6,2025,586.3675493273
E06000005,F,6,2026,583.4821067357
E06000005,F,6,2027,579.9081603482
E06000005,F,6,2028,576.6806580041
E06000005,F,6,2029,571.571318229
E06000005,F,6,2030,568.9262705271
E06000005,F,6,2031,565.0759454289
E06000005,F,6,2032,562.772635526
E06000005,F,6,2033,560.0513369384
E06000005,F,6,2034,557.1891113568
E06000005,F,6,2035,555.2309246633
E06000005,F,6,2036,552.414264625
E06000005,F,6,2037,550.1368630445
E06000005,F,7,2011,593
E06000005,F,7,2012,578
E06000005,F,7,2013,655
E06000005,F,7,2014,634
E06000005,F,7,2015,688.6930335097
E06000005,F,7,2016,634.5904081011
E06000005,F,7,2017,637.4428252529
E06000005,F,7,2018,622.5251524426
E06000005,F,7,2019,665.6137477416
E06000005,F,7,2020,644.2652156093
E06000005,F,7,2021,563.1979160237
E06000005,F,7,2022,588.2407702665
E06000005,F,7,2023,589.0718902691
E06000005,F,7,2024,587.7716369192
E06000005,F,7,2025,587.8500819195
E06000005,F,7,2026,586.0768614677
E06000005,F,7,2027,583.1920443507
E06000005,F,7,2028,579.6191155353
E06000005,F,7,2029,576.3928734836
E06000005,F,7,2030,571.2846717128
E06000005,F,7,2031,568.6414258457
E06000005,F,7,2032,564.7920331094
E06000005,F,7,2033,562.4900810169
E06000005,F,7,2034,559.7695944054
E06000005,F,7,2035,556.9083284311
E06000005,F,7,2036,554.9511510024
E06000005,F,7,2037,552.1351813265
E06000005,F,8,2011,563
E06000005,F,8,2012,586
E06000005,F,8,2013,575
E06000005,F,8,2014,648
E06000005,F,8,2015,633.0833333333
E06000005,F,8,2016,687.776366843
E06000005,F,8,2017,633.6737414344
E06000005,F,8,2018,636.5261585862
E06000005,F,8,2019,621.6084857759
